STARTING DAY:,,2,Sunday,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,DOF shifted week index ,Good data?,week text ,day,day,hits,views,bandwidth,,0viewsum,,1viewsum,,2viewsum,,3viewsum,,4viewsum,,5viewsum,,6viewsum,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,1,,1,,1,,1,,1,,
,0,1,sunday,9,3/9/2025,2,2,1716,,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,1,,monday,10,3/10/2025,3,3,2450,,0,0,3,1,0,0,0,0,0,0,0,0,0,0
,2,,tuesday,11,3/11/2025,1,1,954,,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,3,,wednesday,12,3/12/2025,5,5,4848,,0,0,0,0,0,0,5,1,0,0,0,0,0,0
,4,,thursday,13,3/13/2025,3,3,2892,,0,0,0,0,0,0,0,0,3,1,0,0,0,0
,5,,friday,14,3/14/2025,6,6,5960,,0,0,0,0,0,0,0,0,0,0,6,1,0,0
,6,,saturday,15,3/15/2025,1,1,1175,,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,0,,sunday,16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,,monday,17,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,,tuesday,18,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,,wednesday,19,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,,thursday,20,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,,friday,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,,saturday,22,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,,sunday,23,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,,monday,24,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,,tuesday,25,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,,wednesday,26,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,,thursday,27,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,,friday,28,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,,saturday,29,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,,sunday,30,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,,monday,31,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,,tuesday,32,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,,wednesday,33,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,,thursday,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,,friday,35,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,,saturday,36,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,,sunday,37,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,,monday,38,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,sum,2,,3,,1,,5,,3,,6,,1,
,,,,,,,,,entries,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,avg,2,,3,,1,,5,,3,,6,,1,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Avg bandwidth,,,Avg views,,,,,,,,,,,,,,,
,0,,sunday,,,,,2,,,,,,,,,,,,,,,
,1,,monday,,,,,3,,,,,,,,,,,,,,,
,2,,tuesday,,,,,1,,,,,,,,,,,,,,,
,3,,wednesday,,,,,5,,,,,,,,,,,,,,,
,4,,thursday,,,,,3,,,,,,,,,,,,,,,
,5,,friday,,,,,6,,,,,,,,,,,,,,,
,6,,saturday,,,,,1,,,,,,,,,,,,,,,
